epoch,train_loss,val_loss,IoU,Dice,Precision,Recall,PixelAcc
1,0.3619275957223319,0.37589131954275534,0.5557669172572421,0.7144603874686295,0.7067723371899783,0.7223175335721822,0.9073367177704226
2,0.27458360062705145,0.26333710389372744,0.6722663612025566,0.8040182793835761,0.7643682937025823,0.8480068372990506,0.9336500944914632
3,0.2574183980133308,0.31171977519989014,0.6266648569459372,0.7704904354084349,0.7424871930338945,0.8006887770088201,0.9234423507878801
4,0.24538046128955887,0.2625508978778933,0.6909915355953913,0.8172619685551483,0.7939133443986407,0.8420255504320887,0.9395655973457987
5,0.24638661744663254,0.2431864959222299,0.7010364536308732,0.8242462436763263,0.8228990309125334,0.8255978748643469,0.9434923148449547
6,0.2296799011681796,0.23815669189264746,0.7182185776641007,0.8360037389893794,0.828180378879353,0.843976314531245,0.9468568495762192
7,0.2267579580040135,0.24958865421789664,0.6817936369267851,0.8107934552216007,0.7785974241405966,0.8457670385071041,0.9366468829873158
8,0.22403105732835368,0.22848216722041,0.7198293742528847,0.8370939408632763,0.8414068970702174,0.8328249746162935,0.9479754789375955
9,0.21736217126434232,0.233912992403831,0.7119795067670333,0.8317617167176987,0.8101983007561795,0.8545043371929734,0.9445206347806945
10,0.2128154837545544,0.2592162920369042,0.6600999771816185,0.7952532814346304,0.761566984392999,0.8320575801710297,0.9312367851351505
11,0.21677421525182056,0.24449820157922345,0.692548928551841,0.8183502608038536,0.7605053820501473,0.8857190276438597,0.9368922292450319
12,0.19891345935103333,0.19295256351247245,0.7583310587832788,0.8625577703302643,0.8389868150092277,0.8874914411985715,0.9546071464632755
13,0.1935325065512716,0.20548550574867813,0.7469735254733647,0.8551629599206008,0.8498448308857718,0.8605480672910274,0.9532160158510552
14,0.19280097128923046,0.19466728729966246,0.7609087287495476,0.8642227917058285,0.8614142235369742,0.8670497339795061,0.9562743292914487
15,0.1942813186365881,0.19134705191777077,0.7659116880751667,0.8674405331220226,0.8583937141333171,0.8766800765070378,0.9569965315453791
16,0.19126678448890952,0.20047031471758714,0.7464874311406421,0.8548443210416997,0.8384949432412415,0.8718439538959977,0.9524799299828791
17,0.18848303485309145,0.1936072960311984,0.7655199686742287,0.8671892499172084,0.8672261249952115,0.8671523779749761,0.9573709087607292
18,0.19108339808114763,0.20879198930881643,0.7386751590425974,0.8496988700860596,0.8205585725283645,0.8809850795303114,0.9499784587342053
19,0.18169381387930347,0.18793942597177293,0.7699248800035172,0.8700085395737104,0.8644300418925344,0.875659505277064,0.9580030370641628
20,0.17686330790137067,0.1826550641177613,0.775285642145112,0.8734207315599302,0.8638018792834989,0.8832562173122984,0.9589118015618963
21,0.1752580795268463,0.184986318555879,0.7722406032748586,0.8714850589111472,0.857624426702948,0.885801072415539,0.9580703546971441
22,0.17499280028627734,0.1860848284429974,0.7683291327261977,0.8689888307632868,0.8425279086179583,0.8971657404743062,0.9565831690658748
23,0.17439873499389538,0.18109723793135749,0.775920648956428,0.8738235567139523,0.8613361307711287,0.8866783880749339,0.958902825249565
24,0.174265195202435,0.18063509460584617,0.779897627282839,0.8763398695838673,0.8649596874966367,0.8880234997822944,0.9597771444438407
25,0.17173302268049845,0.18533914920724467,0.7703868745476046,0.870303418561511,0.8580563545283026,0.8829051501991471,0.9577659041793248
26,0.1718834573594631,0.1803061173653897,0.7781054134834974,0.8752072937668035,0.8662696847502245,0.8843312503077361,0.9595252143012143
27,0.17017942551722742,0.1781610440324854,0.782017040350728,0.87767627653753,0.8668803145551428,0.8887445313022172,0.9602401639208372
28,0.17185536283279151,0.18251293963856166,0.7782261033815857,0.8752836345183129,0.869925260960571,0.8807084278466946,0.9597191987214255
29,0.1702572987526042,0.17699686700915113,0.7807683410959929,0.8768892877053966,0.8559022603236074,0.8989314049955823,0.9594893749849287
30,0.1675304742629636,0.18230067947764456,0.7724875161186466,0.8716422644377463,0.8447745896279071,0.9002751082090084,0.9574450269157494
