epoch,train_loss,val_loss,IoU,Dice,Precision,Recall,PixelAcc
1,0.3768558206626908,0.3179498480425941,0.6189826346042021,0.7646562988064746,0.8076861146784718,0.7259794402201791,0.911333331355341
2,0.29140023365923406,0.31567165439511524,0.6248500525774774,0.769117189104664,0.8706079992055898,0.6888184315735553,0.9179452731285555
3,0.26801563523433825,0.2567571328010088,0.6897969938465889,0.8164258740647439,0.7627955679592683,0.8781677160495899,0.9216440577565876
4,0.26700605961030405,0.3311885724097122,0.5974764551182823,0.748025366137923,0.8730984600490757,0.6542961404394873,0.9125389640713905
5,0.25097978581126335,0.26429409966056727,0.6993264338547964,0.8230630912607251,0.8610030632610501,0.7883256391508063,0.932750242727773
6,0.2384680958441746,0.2316078801213959,0.7280998778308189,0.8426594864930602,0.8081890046414555,0.880201406042176,0.9347815807954754
7,0.2348610800480156,0.2355152177221981,0.7227123680908947,0.8390400875705126,0.8274896847767442,0.8509175044145715,0.9352227905650187
8,0.23089524907339748,0.2470206265096311,0.696397993393262,0.8210313807319174,0.848822648266382,0.7950022448206191,0.9312321815961662
9,0.22469919404865782,0.23383713283656557,0.7256849366117313,0.8410398922952482,0.8301589438510562,0.8522098636100819,0.9360827810970342
10,0.21280703052817057,0.20629148976302442,0.7597136813646554,0.8634514687360942,0.8498574512395374,0.8774874457976348,0.9449332084184799
11,0.20644857964397947,0.20846626659234366,0.7578775717176773,0.8622643395775639,0.8480647636818434,0.8769475139219771,0.9444122196715543
12,0.20010052872783363,0.20827039818704865,0.7534311098010732,0.8593791972660392,0.8361090595458149,0.8839817005878019,0.9426005445880643
13,0.20091071356961757,0.21066907986446662,0.7451029514313873,0.8539358102858412,0.8077417896303946,0.9057339115551302,0.9385221151658035
14,0.1943255726692608,0.19665325534196548,0.7732972233759163,0.872157485143693,0.8608587049369623,0.883756803147562,0.9485941050965098
15,0.19025698408423136,0.19653015574555338,0.7779122552442148,0.8750850925850224,0.861444735502437,0.8891643701216043,0.9496330331872999
16,0.1891576866676778,0.18984703535650982,0.7804932968296647,0.8767157935605895,0.8671404176577543,0.8865050023955382,0.9505314061671116
17,0.18728888316900152,0.195911036045463,0.7747931533317256,0.8731081161511663,0.8779629225298968,0.868306705041246,0.9499229501794874
18,0.18319282696080305,0.1893295927180184,0.7844959898063336,0.8792353631363138,0.8647603621208086,0.8942032002371636,0.9512616734445819
19,0.1880691373421822,0.19275251159697404,0.7774726287143783,0.8748068647073499,0.8695923743328475,0.8800842694862305,0.9500204486611437
20,0.18159521938351447,0.18898120301741142,0.7808029813941672,0.8769111345297579,0.8765130853593075,0.8773095453950387,0.951132986280652
21,0.18178642703672496,0.1871268614942645,0.780490298758871,0.8767139021233967,0.8461834794860726,0.9095298717799706,0.9492456883559981
22,0.17915979690021938,0.18552479479047987,0.7866353846238666,0.8805774153963418,0.8727480908911766,0.8885484834376334,0.9521810743543825
23,0.17570265367197893,0.1824679501630642,0.7877200560211579,0.8812566076753073,0.8643263371123722,0.8988633837653427,0.9519381464263528
24,0.1758582343044595,0.18512853998460888,0.7909308474626916,0.8832622974619552,0.8634626003266266,0.903991342101282,0.9525883050612449
25,0.17382679793815065,0.18336822699617455,0.7907762113797616,0.8831658655667338,0.8692681539648331,0.8975151859177833,0.9528839323255739
26,0.1749677615155899,0.1821043090319928,0.7879430210237626,0.8813961202998432,0.8651243107223096,0.8982917644930918,0.9520327367900319
27,0.17227537059244305,0.18008952505058712,0.7895711229282221,0.8824137949167065,0.8690512976585784,0.8961936315928275,0.9526101100591954
28,0.17069149771590292,0.1786680100140748,0.7936842043822177,0.8849765220021873,0.8670029483713315,0.903711080726545,0.9533894621295682
29,0.16984908509646915,0.17739913014718045,0.7953299364260703,0.8859986348908311,0.8740805755387324,0.8982461916081039,0.9541359771916884
30,0.16887316291714893,0.17877250339513945,0.794123479927488,0.885249525812553,0.8704532987422683,0.9005574726891972,0.9536766476101334
